"","VVD","VVD.low","VVD.high","PvdA","PvdA.low","PvdA.high","PVV","PVV.low","PVV.high","SP","SP.low","SP.high","CDA","CDA.low","CDA.high","D66","D66.low","D66.high","CU","CU.low","CU.high","GL","GL.low","GL.high","SGP","SGP.low","SGP.high","PvdD","PvdD.low","PvdD.high","50PLUS","50PLUS.low","50PLUS.high","VNL","VNL.low","VNL.high","Denk","Denk.low","Denk.high","FvD","FvD.low","FvD.high","PP","PP.low","PP.high"
"2014-01-10",0.148621058359713,0.139005150221714,0.158605798249612,0.108341444185382,0.101811330411108,0.115136772089819,0.170348442903353,0.15924795750686,0.181201402692689,0.139136152857442,0.132365889228432,0.14576962879438,0.11123648738209,0.105357412520313,0.117337063426905,0.130546383059901,0.123158030848849,0.138004824041423,0.0455162175961694,0.0427932289697986,0.0482141661406522,0.0364392512006256,0.0318453771340152,0.0408578244837686,0.0264972221596087,0.0248899480081986,0.0281204989000892,0.0261470671524498,0.0238232232603857,0.0285425209732179,0.0356270409603074,0.0300361137395179,0.040961625347342,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-11",0.147893289958082,0.137672146041561,0.158688903920286,0.108122308975838,0.101158420390419,0.115381355474676,0.171008905522255,0.159279902639129,0.182303107959597,0.139130685307353,0.132276299606727,0.145866852434847,0.111210933384123,0.105106966704656,0.117434597843961,0.130756600550738,0.123049221204042,0.138490938412084,0.0455343351670274,0.0428269749392287,0.0481719893287781,0.0364563070609671,0.0318797341492983,0.0408470330411916,0.0265158793224027,0.0249256790521999,0.0281658030867826,0.0261340407484256,0.0238334251163278,0.0285669207409448,0.0356025096737645,0.029604534534711,0.041654445012425,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-12",0.147130896211819,0.136474770433098,0.157775050597015,0.107921269902466,0.10064077568035,0.115094096747764,0.171577220464057,0.16003620582778,0.183751968903265,0.139203519454528,0.132373469475412,0.146071811267447,0.111194611030087,0.105069391173083,0.117418506419783,0.130938837999901,0.123205631081927,0.138709519195135,0.0455588871384154,0.0428446516891403,0.0482478332705335,0.0364660310136173,0.0318779210633391,0.0410794070327044,0.0265328996877933,0.0249333882080019,0.0281557121050627,0.0261266715806125,0.0238786148868638,0.0285875655146345,0.0355940684437811,0.0293827431368822,0.0422605491497775,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-13",0.146426944337712,0.135635342962106,0.157610872240728,0.107685842787316,0.100379619898625,0.114774940893962,0.17229912109207,0.160686898386443,0.184448611724893,0.139231586162887,0.132222523149222,0.146070511587889,0.111105534278092,0.104954099393112,0.117346719826641,0.13112716732483,0.123318178992161,0.139079038018853,0.0455742481215327,0.0428046596489518,0.0482822845611063,0.0364844725722788,0.0318647180638016,0.040972097487672,0.0265558268792677,0.024993105672108,0.0282019137228363,0.0261249763071724,0.0238945819037749,0.0285568768421843,0.0355161267632286,0.0290380645109864,0.0422465516324546,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-14",0.145679524468806,0.135019706497378,0.156738505750352,0.107499326528352,0.100229272510605,0.114507581856588,0.172954504558945,0.160990653357901,0.184873339463961,0.139277776849143,0.132495932409289,0.146006538363999,0.111043327194381,0.104825338430727,0.117656190830479,0.131340988827854,0.123443189114105,0.139226549013858,0.045599909502596,0.0428786178801094,0.048289187448412,0.0364769980514397,0.0320091178585026,0.0411590173436148,0.0265715708375822,0.0250121768880045,0.028219739546667,0.0261084281889384,0.023897489731525,0.0284711388017096,0.0354806172387361,0.0289527849051373,0.0420884081282201,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-15",0.145059585069911,0.134197203411272,0.155976156841119,0.107327714631984,0.100209881933847,0.114436736897239,0.173601163007316,0.161950036653556,0.18537397574499,0.13927705171322,0.13250452844685,0.145821384264919,0.110942942977402,0.104768606134011,0.117270337109506,0.131555037093906,0.12391552729643,0.139394337882513,0.0456213366659092,0.0429429279498712,0.0483785943813537,0.0364757304578296,0.0319187360685911,0.0409631322222226,0.0265999787170934,0.0250437941106248,0.0282492523893239,0.0260995807694731,0.0239024929634889,0.0284061116869724,0.0354538829422296,0.0289069637474356,0.0421033595580398,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-16",0.144293195535076,0.133684925388203,0.15486718270021,0.107159138594748,0.100305902798578,0.114130242591723,0.174158167595458,0.162726802466531,0.185442357231082,0.139274759528816,0.132698904366761,0.145830817782921,0.110880742951176,0.10469736237987,0.116880577351096,0.131813758934054,0.124373304805903,0.139382126654828,0.045634164457915,0.0429482434490546,0.0482948403337197,0.0364797846662267,0.0320527375359323,0.0409142255432995,0.0266177402530175,0.0250819827567395,0.0282528043685532,0.0260943537442319,0.0239367171012673,0.0283890986034997,0.0353811300633595,0.028913289595298,0.041644861858485,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-17",0.143479671466309,0.133339433927895,0.15337841960944,0.106935525773151,0.100044873712186,0.113824250510583,0.174852187566699,0.163720925874091,0.185561463253584,0.139274741801135,0.132577231277273,0.145731406767096,0.1108501673689,0.104690469286645,0.116779980585004,0.132019387786835,0.124590907918049,0.139299798625203,0.0456475709239655,0.0430056979737071,0.0483266544707511,0.0364656913133685,0.0321891185642902,0.0408097423828552,0.026637922105552,0.0251558584947358,0.0282553851956768,0.0260930983233228,0.0239250916477378,0.0283926166150675,0.0353422757048476,0.0291075605046985,0.0411913429413915,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-18",0.142784055609565,0.133402206663099,0.152185805298614,0.106764321516793,0.10045706764741,0.113172613873336,0.17551619449702,0.165044862749023,0.185589264119149,0.139249010668983,0.132976648422439,0.145667799739633,0.11080596499144,0.104860448066228,0.116483516567386,0.132213475655546,0.125247007279695,0.139629546296346,0.0456628712823672,0.0431509768357382,0.0482981974289772,0.036452269183923,0.032222629299458,0.04054452005063,0.0266637923627068,0.0251428185732085,0.0282385980713022,0.0260910723421035,0.0239615582751643,0.0284104267656114,0.0353000142316496,0.0299394499197668,0.0408959965874623,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-19",0.142963144899327,0.133042850491055,0.152903338791232,0.106835629761036,0.100373739437411,0.113356321706099,0.175911087149098,0.165260878689807,0.186226576369663,0.139098823099575,0.132831228621168,0.145487744763529,0.110692180251491,0.104896741920716,0.116304646009558,0.132423074526979,0.125174579261664,0.139601791993681,0.0456669536584256,0.0431619586313428,0.0482630303900815,0.036390905049991,0.0324574374679138,0.040611284404656,0.0266803717158209,0.0251421585764988,0.0282793604155913,0.0260812720182043,0.0239244524134568,0.028337093911046,0.0355869943295493,0.0298776983809328,0.0415932911058749,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-20",0.143229032648114,0.133020592706899,0.153263219694182,0.106843923902045,0.100368700461073,0.113175574596318,0.176484344952422,0.165771960176534,0.187099333731658,0.138935741352322,0.132600943224858,0.145314325160156,0.110621572246754,0.104954912276057,0.116264689999692,0.132660923745016,0.125263736258819,0.139899294280111,0.0456562983813449,0.0431604385966414,0.0482328845564401,0.0363084763909265,0.0323512126196234,0.0404849236396545,0.0266973859042972,0.0251890516261824,0.0282648834216653,0.0260710396240316,0.0239560803194679,0.0282694060064632,0.035842564172476,0.0300052240272129,0.0417820559047216,0,0,0,0,0,0,0,0,0,0,0,0
