,party,percentage,seats,date,sample,fieldstart,fieldend,company,publicationdate,reported
182,PvdA,0.236,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
183,VVD,0.252,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
184,SP,0.026,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
185,GL,0.053,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
186,D66,0.119,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
187,GPV,0.018,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
188,RPF,0.022,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
189,SGP,0.019,NA,6-8-1997,1000,6-8-1997,6-8-1997,Ipsos,6-8-1997,percentage
190,CDA,0.207,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
191,PvdA,0.239,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
192,VVD,0.262,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
193,SP,0.033,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
194,GL,0.056,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
195,D66,0.115,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
196,GPV,0.016,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
197,RPF,0.021,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
198,SGP,0.021,NA,13-8-1997,1000,13-8-1997,13-8-1997,Ipsos,13-8-1997,percentage
199,CDA,0.198,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
200,PvdA,0.245,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
201,VVD,0.258,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
202,SP,0.035,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
203,GL,0.052,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
204,D66,0.118,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
205,GPV,0.017,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
206,RPF,0.019,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
207,SGP,0.019,NA,20-8-1997,1000,20-8-1997,20-8-1997,Ipsos,20-8-1997,percentage
208,CDA,0.195,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
209,PvdA,0.254,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
210,VVD,0.255,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
211,SP,0.03,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
212,GL,0.05,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
213,D66,0.117,NA,27-8-1997,1000,27-8-1997,27-8-1997,Ipsos,27-8-1997,percentage
